2019-09-22 18:07:26.343 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/IRobotQrCodePayTask/export]}" onto public org.springframework.web.servlet.ModelAndView web.template.controller.IRobotQrCodePayTaskController.export(web.template.params.db1.codeGenerator.IRobotQrCodePayTaskParams,java.lang.String,int,int)
2019-09-22 18:07:26.343 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/IRobotQrCodePayTask/page]}" onto public com.txj.common.entity.Result web.template.controller.IRobotQrCodePayTaskController.page(web.template.params.db1.codeGenerator.IRobotQrCodePayTaskParams,int,int)
2019-09-22 18:07:26.344 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/HeartbeatEntity/page]}" onto public com.txj.common.entity.Result web.template.controller.common.HeartbeatEntityController.page(web.template.params.HeartbeatEntityParams,int,int)
2019-09-22 18:07:26.344 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/uploadSingleImage]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.uploadSingleImage(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest)
2019-09-22 18:07:26.344 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/anonymousRealTime]}" onto public final com.txj.common.entity.Result web.template.controller.common.IndexController.anonymousRealTime(java.lang.String,java.lang.String,java.lang.String)
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/loadLeftMenus]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.loadLeftMenus()
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/realTime]}" onto public final com.txj.common.entity.Result web.template.controller.common.IndexController.realTime(java.lang.String,java.lang.String)
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/loadLoginData]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.loadLoginData()
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/downFile]}" onto public void web.template.controller.common.IndexController.downFile(java.lang.String,java.lang.String,javax.servlet.http.HttpServletResponse)
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/showImage]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.showImage(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/singleImageCrop]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.singleImageCrop(java.lang.String,int,int,int,int,int,int,javax.servlet.http.HttpServletRequest)
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/index/uploadFiles]}" onto public com.txj.common.entity.Result web.template.controller.common.IndexController.uploadFiles(org.springframework.web.multipart.MultipartFile,javax.servlet.http.HttpServletRequest)
2019-09-22 18:07:26.345 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/LogEntity/load]}" onto public com.txj.common.entity.Result web.template.controller.common.LogEntityController.load(java.lang.Long)
2019-09-22 18:07:26.346 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/LogEntity/page]}" onto public com.txj.common.entity.Result web.template.controller.common.LogEntityController.page(web.template.params.LogEntityParams,int,int)
2019-09-22 18:07:26.346 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/session/verificationCode]}" onto public void web.template.controller.common.SessionController.verificationCode(javax.servlet.http.HttpServletResponse)
2019-09-22 18:07:26.346 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/session/logout]}" onto public com.txj.common.entity.Result web.template.controller.common.SessionController.logout()
2019-09-22 18:07:26.347 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-09-22 18:07:26.347 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-09-22 18:07:26.352 [restartedMain] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-09-22 18:07:26.352 [restartedMain] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-09-22 18:07:26.362 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: ServletContext resource [/index.html]
2019-09-22 18:07:26.416 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-09-22 18:07:26.424 [restartedMain] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2019-09-22 18:07:26.425 [restartedMain] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Bean with name 'db1DataSource' has been autodetected for JMX exposure
2019-09-22 18:07:26.426 [restartedMain] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Located MBean 'db1DataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=db1DataSource,type=DruidDataSource]
2019-09-22 18:07:26.434 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2019-09-22 18:07:26.435 [restartedMain] INFO  web.template.TemplateApplication - Started TemplateApplication in 1.066 seconds (JVM running for 485.249)
2019-09-22 18:07:26.437 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2019-09-22 18:07:50.035 [Thread-39] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2c49a687: startup date [Sun Sep 22 18:07:25 CST 2019]; root of context hierarchy
2019-09-22 18:07:50.042 [Thread-39] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2019-09-22 18:07:50.043 [Thread-39] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2019-09-22 18:07:50.046 [Thread-39] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2019-09-22 18:07:50.339 [restartedMain] INFO  web.template.TemplateApplication - Starting TemplateApplication on DESKTOP-3UIND36 with PID 10496 (D:\git_project\myhelper\java\web\target\classes started by admin in D:\git_project\myhelper\java\web)
2019-09-22 18:07:50.339 [restartedMain] INFO  web.template.TemplateApplication - No active profile set, falling back to default profiles: default
2019-09-22 18:07:50.341 [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@2eb81140: startup date [Sun Sep 22 18:07:50 CST 2019]; root of context hierarchy
2019-09-22 18:07:50.745 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$eac101bf] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.749 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'beans' of type [web.template.config.Beans$$EnhancerBySpringCGLIB$$71c3b915] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.880 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'snowFlakeHelper' of type [com.txj.common.SnowFlakeHelper] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.884 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'myBatisDb1Config' of type [web.template.config.MyBatisDb1Config$$EnhancerBySpringCGLIB$$c19d4ef8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.890 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.context.properties.ConversionServiceDeducer$Factory' of type [org.springframework.boot.context.properties.ConversionServiceDeducer$Factory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.893 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'db1DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.895 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'db1DataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.898 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceInitializerInvoker] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-09-22 18:07:50.957 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'db1SqlSessionFactory' of type [org.apache.ibatis.session.defaults.DefaultSqlSessionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
